Area,Name,Quantity,List Price,Product Type,Width,Height,Mounting,Fabric,Top Treatment,Top Treatment Details,Metal Color,Technology,Operator,Power,Battery Boost,Bracket,Hembar,Fabric Drop,Top Back Color,Railroading,Custom Seam,Light Gap Type,Width Type,Is Replacement,Product,System Mount,Fascia End Cap Color,Operator Side,Fabric Vane Size
Kitchen,Far Left,1,1700.29,Roller,98.5625,81.9375,Inside,SHL-001-3,Fascia,Pick Automatically,Lutron Recommended Endcaps,Sivoia QS Triathlon,Standard,Battery (Not included),Pick Automatically,Fabric-Wrapped Fascia,Pick Automatically,Regular,White Metal,Pick Automatically,No,Minimum,Bracket-to-Bracket,No,,,,,
Kitchen,Left Middle,1,995.62,Roller,33.1875,81.375,Inside,SHL-001-3,Fascia,Pick Automatically,Lutron Recommended Endcaps,Sivoia QS Triathlon,Standard,Battery (Not included),Pick Automatically,Fabric-Wrapped Fascia,Pick Automatically,Regular,White Metal,Pick Automatically,No,Minimum,Bracket-to-Bracket,No,,,,,
Kitchen,Right Middle,1,995.62,Roller,33.1875,81.375,Inside,SHL-001-3,Fascia,Pick Automatically,Lutron Recommended Endcaps,Sivoia QS Triathlon,Standard,Battery (Not included),Pick Automatically,Fabric-Wrapped Fascia,Pick Automatically,Regular,White Metal,Pick Automatically,No,Minimum,Bracket-to-Bracket,No,,,,,
Kitchen,Far Right,1,960.78,Roller,21.875,81.375,Inside,SHL-001-3,Fascia,Pick Automatically,Lutron Recommended Endcaps,Sivoia QS Triathlon,Standard,Battery (Not included),Pick Automatically,Fabric-Wrapped Fascia,Pick Automatically,Regular,White Metal,Pick Automatically,No,Minimum,Bracket-to-Bracket,No,,,,,
Jr Master,JR Door HS,1,4272.12,Horizontal Sheer Blinds,37.5,99.125,,SB-PLZO-6,2 in Fabric Wrapped,,,Sivoia QS Wireless,,,,,,,White,,,,,,Horizontal Sheer Blinds,Outside,White,Left,2 in Vane (Roller 64)
