Area,Name,Quantity,List Price,Product Type,Product,Product Details,Width,Height,System Mount,Fabric,Technology,Battery Powered,Top Back Cover
Master Bed,Master Bed Slider Left,1,870.65,Honeycomb,Standard Honeycomb,Standard Honeycomb,57.75,93,Inside,RD-SL-WH-V,Sivoia QS Triathlon,Yes,Yes
Master Bed,Master Bed Slider Right,1,870.65,Honeycomb,Standard Honeycomb,Standard Honeycomb,57.75,93,Inside,RD-SL-WH-V,Sivoia QS Triathlon,Yes,Yes
Master Bed,Master Bed Left Window,1,803.08,Honeycomb,Standard Honeycomb,Standard Honeycomb,69.5,70,Inside,RD-SL-WH-V,Sivoia QS Triathlon,Yes,Yes
Master Bed,Master Bed Middle Left,1,667.21,Honeycomb,Standard Honeycomb,Standard Honeycomb,27.5,70,Inside,RD-SL-WH-V,Sivoia QS Triathlon,Yes,Yes
Master Bed,Middle Right,1,667.21,Honeycomb,Standard Honeycomb,Standard Honeycomb,27.5,70,Inside,RD-SL-WH-V,Sivoia QS Triathlon,Yes,Yes
Master Bed,Master Bed Far Right,1,705.81,Honeycomb,Standard Honeycomb,Standard Honeycomb,39.5,70,Inside,RD-SL-WH-V,Sivoia QS Triathlon,Yes,Yes
Jr Master,JR Left HC,1,673.1,Honeycomb,Standard Honeycomb,Standard Honeycomb,15.25,82,Inside,RD-SL-WH-V,Sivoia QS Triathlon,Yes,Yes
Jr Master,JR Middle HC,1,884.42,Honeycomb,Standard Honeycomb,Standard Honeycomb,70.5,82,Inside,RD-SL-WH-V,Sivoia QS Triathlon,Yes,Yes
Jr Master,JR Door HC,1,711.37,Honeycomb,Standard Honeycomb,Standard Honeycomb,30.5,95,Inside,RD-SL-WH-V,Sivoia QS Triathlon,Yes,Yes
